stat	x	y	z
BIE	515875	153225	683
ENG	674150	186060	1035
ULR	666740	150760	1345
CHE	506630	161040	1015
PIO	694930	152500	1007
PRE	523550	148530	425
AIG	560120	130630	381
EBK	726191	237146	620
HAI	718900	278900	700
COM	714998	146440	575
STC	618700	269020	493
EGH	650280	141900	2893
STK	715875	280920	398
GSB	579200	79720	2472
MOE	633050	269150	340
TAE	710500	259820	536
ZER	624300	97575	1638
CEV	689700	130550	416
WFJ	780600	189630	2690
EGO	642900	225550	522
LAG	628070	198830	755
DEM	591840	245950	467
AND	752687	164036	987
MTR	714260	140940	2171
TIT	675400	180400	3040
COV	783160	143525	3315
SIO	592200	118625	482
EVO	605415	106740	1825
GEN	722250	87300	1608
GIH	657320	188980	475
WAE	693770	230780	463
PMA	760250	160570	2670
UEB	679450	245050	854
OTL	704160	114350	366
SBE	734120	147270	1639
LAE	672250	259460	868
SBO	716040	77970	353
ARH	760350	261380	398
MSK	588150	200125	775
FAH	562460	252650	596
GUE	690140	167590	2287
BIZ	735325	262285	470
LUZ	665520	209860	456
REH	681400	253550	443
BUS	648400	248380	387
SMA	685125	248090	556
MOA	660250	232950	453
CHU	759460	193170	555
SAE	744100	234900	2502
MAG	715475	113162	203
WYN	626400	233860	422
INT	633070	169120	580
PLF	586850	177400	1042
QUI	734850	221280	420
PUY	540820	151500	461
GUT	738430	273950	440
SCM	713720	231500	408
VIS	631150	128020	640
ROE	682600	144075	1898
BRZ	647490	177060	578
MUB	587788	202478	480
SAM	787150	156040	1705
KLO	682720	259340	436
BER	601929	204409	552
CGI	507280	139170	430
MVE	603600	129160	1508
DOL	497050	142380	1670
PIL	661910	203410	2106
MLS	567740	155175	1972
MRP	629149	89520	2885
BOL	595830	163590	820
BEZ	659808	267694	325
BAS	610850	265620	316
CMA	732820	189380	2480
EVI	568190	114700	480
STG	747940	254600	779
HOE	713500	247750	1144
RUE	633250	253840	610
SHA	688700	282800	437
ALT	690960	191700	449
BAN	606850	202975	942
HIR	733900	153980	1611
ATT	586850	105310	2733
MAE	638480	162550	2230
CDF	551290	215150	1018
DIA	581920	130630	2966
BAR	686590	294750	740
CIM	704370	117515	1672
GOR	626800	92460	3130
BUF	816500	170250	1970
JUN	641930	155275	3580
ROB	801850	136180	1078
CRM	571160	210800	431
NEU	563150	205600	485
LUG	717880	95870	273
NAP	638138	206075	1406
SPF	643720	199720	745
CHA	571290	220320	1599
KKK	624350	97566	1638
FRE	534230	188080	1202
BRL	537000	203980	1050
NAS	815380	189020	2400
GRE	598150	225350	430
LOR	719350	128500	261
GOE	640417	245937	380
GRH	668580	158210	1980
DAV	783580	187480	1590
GVE	498580	122320	420
CHZ	677825	226880	440
MAH	534870	178070	435
PSI	659540	265600	334
DIS	708200	173800	1190
ORO	555500	158050	830
BOU	555260	138170	375
SCU	817130	186400	1298
LEI	656379	272111	341
ABO	609400	148975	1200
AEG	688720	220950	724
AMS	610940	175870	638
PAY	562150	184855	490
GLA	723800	210600	515
VAD	757720	221720	460
VAB	761600	180450	1560
