stat	time	var
ABO	2005-08-21T00:00:00	11.8
ABO	2005-08-21T00:10:00	12
ABO	2005-08-21T00:20:00	12.2
ABO	2005-08-21T00:30:00	12.4
ABO	2005-08-21T00:40:00	12.5
ABO	2005-08-21T00:50:00	12.6
ABO	2005-08-21T01:00:00	12.8
ABO	2005-08-21T01:10:00	12.8
ABO	2005-08-21T01:20:00	12.9
ABO	2005-08-21T01:30:00	13
ABO	2005-08-21T01:40:00	13
ABO	2005-08-21T01:50:00	13
ABO	2005-08-21T02:00:00	13
ABO	2005-08-21T02:10:00	13.1
ABO	2005-08-21T02:20:00	13.1
ABO	2005-08-21T02:30:00	13.1
ABO	2005-08-21T02:40:00	13.1
ABO	2005-08-21T02:50:00	13.1
ABO	2005-08-21T03:00:00	13.1
ABO	2005-08-21T03:10:00	13.1
ABO	2005-08-21T03:20:00	13.1
ABO	2005-08-21T03:30:00	13.1
ABO	2005-08-21T03:40:00	13.1
ABO	2005-08-21T03:50:00	13.1
ABO	2005-08-21T04:00:00	13.1
ABO	2005-08-21T04:10:00	13.1
ABO	2005-08-21T04:20:00	13.1
ABO	2005-08-21T04:30:00	13.1
ABO	2005-08-21T04:40:00	13.1
ABO	2005-08-21T04:50:00	13.1
ABO	2005-08-21T05:00:00	13.1
ABO	2005-08-21T05:10:00	13.1
ABO	2005-08-21T05:20:00	13.2
ABO	2005-08-21T05:30:00	13.2
ABO	2005-08-21T05:40:00	13.2
ABO	2005-08-21T05:50:00	13.3
ABO	2005-08-21T06:00:00	13.5
ABO	2005-08-21T06:10:00	13.6
ABO	2005-08-21T06:20:00	13.8
ABO	2005-08-21T06:30:00	13.8
ABO	2005-08-21T06:40:00	13.9
ABO	2005-08-21T06:50:00	14.1
ABO	2005-08-21T07:00:00	14.5
ABO	2005-08-21T07:10:00	14.8
ABO	2005-08-21T07:20:00	15.2
ABO	2005-08-21T07:30:00	15.5
ABO	2005-08-21T07:40:00	15.6
ABO	2005-08-21T07:50:00	15.6
ABO	2005-08-21T08:00:00	15.6
ABO	2005-08-21T08:10:00	15.7
ABO	2005-08-21T08:20:00	15.8
ABO	2005-08-21T08:30:00	15.8
ABO	2005-08-21T08:40:00	15.8
ABO	2005-08-21T08:50:00	15.9
ABO	2005-08-21T09:00:00	15.9
ABO	2005-08-21T09:10:00	15.9
ABO	2005-08-21T09:20:00	15.8
ABO	2005-08-21T09:30:00	15.8
ABO	2005-08-21T09:40:00	15.8
ABO	2005-08-21T09:50:00	15.7
ABO	2005-08-21T10:00:00	15.3
ABO	2005-08-21T10:10:00	13.8
ABO	2005-08-21T10:20:00	12.6
ABO	2005-08-21T10:30:00	11.8
ABO	2005-08-21T10:40:00	11.5
ABO	2005-08-21T10:50:00	11.1
ABO	2005-08-21T11:00:00	11.3
ABO	2005-08-21T11:10:00	11.6
ABO	2005-08-21T11:20:00	12.3
ABO	2005-08-21T11:30:00	12.7
ABO	2005-08-21T11:40:00	13
ABO	2005-08-21T11:50:00	13.3
ABO	2005-08-21T12:00:00	13.5
ABO	2005-08-21T12:10:00	13.7
ABO	2005-08-21T12:20:00	14
ABO	2005-08-21T12:30:00	14.3
ABO	2005-08-21T12:40:00	14.6
ABO	2005-08-21T12:50:00	14.9
ABO	2005-08-21T13:00:00	15.2
ABO	2005-08-21T13:10:00	15.4
ABO	2005-08-21T13:20:00	15.8
ABO	2005-08-21T13:30:00	16
ABO	2005-08-21T13:40:00	16.2
ABO	2005-08-21T13:50:00	16.5
ABO	2005-08-21T14:00:00	16.8
ABO	2005-08-21T14:10:00	17.2
ABO	2005-08-21T14:20:00	17.5
ABO	2005-08-21T14:30:00	17.8
